譚仔三哥米線 TamJai SamGor Mixian,2.0,香港仔香港仔中心5期地下3號舖,$50以下,滇菜 (雲南),粉麵/米線,(11 食評),141,
喜起海鮮小炒 Hei Hei seafood restaurant,1.0,香港仔田灣石排灣道80號南景花園地下D舖,$101-200,粵菜 (廣東),中菜館,(5 食評),145,
寶寶餐廳小廚,1.0,香港仔黃竹坑深灣道2號包玉剛游泳池,$51-100,粵菜 (廣東),中菜館,(2 食評),21,
英記勝哥 Ying Kee,3.0,香港仔香港仔大道203號香港仔市政大廈2樓熟食中心3號舖,$50以下,粵菜 (廣東),粵菜 (廣東),(5 食評),92,
湘粵味餐廳,1.0,香港仔田灣嘉和街14-22號嘉和大廈A座地下5號舖,$51-100,粵菜 (廣東),湘菜 (湖南),(3 食評),20,
海天閣 The Horizon,2.0,香港仔深灣道8號香港深灣遊艇會9樓,$101-200,粵菜 (廣東),會所,(2 食評),71,
鴻福堂 Hung Fook Tong,1.0,香港仔湖南街1-3號安泰大廈地下C號舖,$50以下,粵菜 (廣東),涼茶/龜苓膏,(2 食評),8,
肇順名匯河鮮專門店 Siu Shun Village Cuisine,,香港仔南寧街ac5 1樓F舖,$101-200,粵菜 (廣東),酒樓,(1 食評),49,
潮苑餐廳,8.0,香港仔東勝道地下,$50以下,潮州菜,潮州菜,(22 食評),56,
明都餐廳 Uptown 88,3.0,香港仔石排灣道88地下,$50以下,粵菜 (廣東),火鍋,(5 食評),43,
方記菜館 Fong Kee Restaurant,1.0,香港仔田灣漁歌街 5 號碧麗大廈 G24-25 地舖,$50以下,粵菜 (廣東),燒臘,(2 食評),36,
潮興滷味專門店,1.0,香港仔東勝道8號地舖,$50以下,潮州菜,燒臘,(2 食評),11,
譽港酒家,1.0,香港仔華貴道3號華貴坊1樓,$101-200,粵菜 (廣東),點心,(3 食評),31,
百樂門囍宴 Joy Cuisine,4.0,"香港仔南寧街ac2 1樓1, 3及5-8號舖",$101-200,粵菜 (廣東),點心,(7 食評),134,
華園華昌燒臘,2.0,香港仔田灣嘉禾街1-3號地下E舖,$50以下,外賣店,粵菜 (廣東),(3 食評),11,
好運鵝煲火鍋小炒王,1.0,香港仔田灣嘉禾街14號地下A1舖,$101-200,粵菜 (廣東),火鍋,(1 食評),14,
添添素食,,香港仔東勝道31號地下D-E號舖,$50以下,粵菜 (廣東),素食,(1 食評),17,
歇腳亭 Sharetea,1.0,香港仔成都道20-28號添喜大廈地舖,$50以下,台灣菜,台式飲品,(1 食評),23,
嘉豪酒家 Ka Ho Restaurant,9.0,香港仔華富村商場10號舖,$101-200,粵菜 (廣東),酒樓,(19 食評),54,
容記小菜王,1.0,香港仔香港仔大道128號金香大廈地舖,$101-200,粵菜 (廣東),中菜館,(1 食評),8,
The Horizon,,香港仔深灣道8號深灣遊艇會,$101-200,粵菜 (廣東),中菜館,,1,
貢茶 Gong Cha,,香港仔東勝道10號朗盈商業大廈地下B號舖,$50以下,台灣菜,台式飲品,,1,
明華海鮮,,香港仔香港仔大道203號香港仔市政大厦地庫23號舖,$101-200,粵菜 (廣東),海鮮,,4,
鴻福堂 Hung Fook Tong,,香港仔港鐵海洋公園站OCP 1號舖,$50以下,粵菜 (廣東),涼茶/龜苓膏,(1 食評),3,
盞記 First Edible Nest,,香港仔東勝道4號地下,$101-200,粵菜 (廣東),甜品/糖水,,3,
英記飯店,,香港仔田灣興和街11號田灣街市熟食中心2樓7-8號舖,$51-100,粵菜 (廣東),港式,,7,
厚興瑜記手撕雞,,香港仔香港仔大道208號裕輝商業中心地下4號舖,$50以下,粵菜 (廣東),粵菜 (廣東),,20,
華記小廚 Wah Kee Restaurant (已搬遷),4.0,香港仔香港仔舊大街56號地舖,$51-100,川菜 (四川),台灣菜,(13 食評),194,
華記小廚 Wah Kee Restaurant (已搬遷),8.0,香港仔湖南街9號地下,$51-100,川菜 (四川),台灣菜,(9 食評),106,
群心茶餐廳 Kwan Sham Restaurant (已搬遷),,香港仔香港仔大道134號地下,$50以下,粵菜 (廣東),粉麵/米線,(5 食評),23,
群心餐廳 Kwan Sham Restaurant (已搬遷),4.0,香港仔田灣石排灣道 85 號地下,$50以下,粵菜 (廣東),粉麵/米線,(6 食評),62,
粗菜館 Tso Choi (已搬遷),2.0,香港仔舊大街56號地舖,$101-200,粵菜 (廣東),中菜館,(4 食評),26,
南小館 The Dining Room (裝修中),,香港仔南寧街6-12號香港仔中心(第五期)地下A舖,$101-200,滬菜 (上海),點心,,5,
湘粵味餐廳,1.0,香港仔田灣嘉和街14-22號嘉和大廈A座地下5號舖,$51-100,粵菜 (廣東),茶餐廳/冰室,(3 食評),20,
華記小廚 Wah Kee Restaurant (已搬遷),4.0,香港仔香港仔舊大街56號地舖,$51-100,台灣菜,火鍋,(13 食評),194,
