place,mag,time
Taiwan,4.5,1262633257000
Taiwan,4.5,1262367285620
Taiwan,4.1,1262237919340
Taiwan,4.4,1261746015700
Taiwan,4.1,1261275144500
Taiwan,6.4,1261227735570
Taiwan,4.5,1260692003640
Taiwan region,4.3,1259377461470
Taiwan,4.1,1258926368700
Taiwan,4.5,1258824470290
Taiwan,4.4,1257678566630
Taiwan,5.2,1257420858880
Taiwan,4.7,1257413887690
Taiwan,5.6,1257413576560
Taiwan region,4.9,1256252703310
Taiwan,4.6,1256244381350
Taiwan,4.6,1256182610570
Taiwan region,4.9,1255243325870
Taiwan,4.3,1254626222750
Taiwan,6.1,1254591366120
Taiwan,4.5,1253354250440
Taiwan region,4.7,1253253236100
Taiwan,5.1,1250888264470
Taiwan,4.3,1250026863000
Taiwan,4.5,1249212887720
Taiwan region,5.4,1248886383820
Taiwan,5,1248588658160
Taiwan,5.1,1248570012410
Taiwan,4.5,1248159490770
Taiwan,4.6,1247654253900
Taiwan,4.3,1246208529320
Taiwan,4.7,1246182765580
Taiwan,5.1,1246181696480
Taiwan,4.4,1246167875680
Taiwan,4.2,1245393044000
Taiwan,4.4,1245259065600
Taiwan,4.2,1244811112870
Taiwan,4,1244710298260
Taiwan,4.5,1242397862230
Taiwan,4.8,1239971868820
Taiwan,4.2,1239347444830
"near the coast of Fujian, China",0,1237774116730
Taiwan,4.7,1237014101620
Taiwan,4.4,1236936570610
Taiwan,4.4,1235998795900
Taiwan region,4.8,1234214675700
Taiwan region,4.5,1234204432710
Taiwan region,4.5,1234070333580
Taiwan region,4.3,1233729598570
Taiwan,4.5,1232804796310
Taiwan,5,1231020274930
Taiwan region,0,1230750461620
Taiwan,0,1230489275580
Taiwan,4.4,1230216279130
Taiwan,0,1229992336410
Taiwan,5.1,1229990685600
Taiwan,3.4,1229909070500
Taiwan,3,1229668853110
Taiwan,3.1,1229667268370
Taiwan,4.3,1229666207820
Taiwan,0,1229656680790
Taiwan,0,1229636857070
Taiwan,4.3,1229541450990
Taiwan region,0,1229062342960
Taiwan,0,1228678930480
Taiwan,0,1228599287700
Taiwan,0,1228593329620
Taiwan,0,1228386116980
Taiwan,4.3,1228375445150
Taiwan,0,1228295023330
Taiwan,5.3,1228187813300
Taiwan,0,1228093088790
Taiwan,0,1228037951930
Taiwan,4.1,1227911831300
Taiwan,0,1227801424200
Taiwan region,3.6,1227730679600
Taiwan,3.8,1227663056530
Taiwan,3.9,1227661223820
Taiwan,3.4,1227435989930
Taiwan region,3.1,1227424007920
Taiwan,0,1227160435140
Taiwan region,0,1227107516320
Taiwan,4,1226975103960
Taiwan,3.5,1226549356660
Taiwan region,0,1226501846560
Taiwan,4.2,1226425447070
Taiwan region,0,1226381056750
Taiwan,4.2,1225956047230
Taiwan,3.9,1225863726360
Taiwan,4.2,1225760833810
Taiwan,4.4,1225442295460
Taiwan,0,1225409801100
Taiwan,4.4,1225405523300
Taiwan,4.6,1225134037600
Taiwan,0,1225060125440
Taiwan,3.8,1224910076380
Taiwan,0,1224729807260
Taiwan,3.3,1223956502760
Taiwan,0,1223631285780
Taiwan,3.3,1223264595850
