,title,like,location,price,country,style,review,bookmark,discount
130,全記海鮮菜館 Chuen Kee Seafood Restaurant,75.0,西貢海傍街53號地下,$201-400,粵菜 (廣東),海鮮,(167 食評),692,
131,京都薈 Capital Canton,18.0,青衣擔桿山路6號長發廣場5樓502號舖,$101-200,粵菜 (廣東),點心,(25 食評),90,
132,海港酒家 Victoria Harbour Restaurant,9.0,屯門石排頭徑卓爾居第3層312號舖,$201-400,粵菜 (廣東),粵菜 (廣東),(34 食評),495,
133,富臨皇宮 Fulum Palace,17.0,天水圍天靖街3號天盛商場1樓L116號舖,$101-200,粵菜 (廣東),酒樓,(32 食評),214,
134,明星皇宮 Star Palace,13.0,元朗阜財街34-36號光華中心2-3樓,$101-200,粵菜 (廣東),點心,(24 食評),384,
135,德發粥品專家,52.0,荃灣四陂坊9B號地舖,$50以下,粵菜 (廣東),粥品,(117 食評),1190,
136,名苑酒家 Ming Garden Restaurant,10.0,將軍澳唐俊街12號天晉匯1樓102號舖,$101-200,粵菜 (廣東),點心,(24 食評),691,
137,食葩,8.0,元朗裕榮徑11號好旺洋樓地下7號舖,$50以下,客家菜,粉麵/米線,(15 食評),813,
138,稻坊 Tao Square,9.0,荃灣大壩街4-30號荃灣廣場6樓610-613號,$101-200,粵菜 (廣東),火鍋,(28 食評),771,惠顧主餐牌9折（星期一至四）
139,天天雞煲火鍋專門店 Tin Tin,10.0,元朗水邊圍福田徑2-16號樂富大廈地下11號舖,$51-100,粵菜 (廣東),火鍋,(15 食評),894,
140,名苑酒家 Ming Garden,12.0,荃灣眾安街68號荃灣千色匯I期5樓5A號舖,$101-200,粵菜 (廣東),點心,(24 食評),713,
141,海港酒家 Victoria Harbour Restaurant,8.0,上水新豐路98-102號張知行大廈2樓,$101-200,粵菜 (廣東),火鍋,(18 食評),285,
142,焸 - 帝王蟹海鮮火鍋專門店,12.0,將軍澳唐俊街18號The Parkside地下G09號舖,$101-200,粵菜 (廣東),火鍋,(24 食評),1948,送 25里數 / 30積分
143,季季紅風味酒家,36.0,荃灣青山公路185-187號荃勝大廈1至2樓,$101-200,粵菜 (廣東),燒臘,(135 食評),1089,
144,稻香超級漁港 Pier 88,12.0,元朗朗屏商場3樓301號舖,$101-200,粵菜 (廣東),火鍋,(28 食評),403,
145,稻香超級漁港 Pier 88,9.0,將軍澳坑口培成路8號南豐廣場1樓R3號舖,$101-200,粵菜 (廣東),火鍋,(27 食評),356,
146,嶺南樓 Lingnan Chinese Restaurant,18.0,屯門嶺南大學康樂樓1樓,$51-100,粵菜 (廣東),點心,(31 食評),502,
147,老四火鍋小廚,11.0,荃灣香車街街市3樓15-18號舖,$51-100,粵菜 (廣東),火鍋,(19 食評),1537,
148,真味鮮廚 Taste Full Kitchen,33.0,將軍澳培成路18號海悅豪園商場地下10號,$51-100,粵菜 (廣東),點心,(71 食評),1109,
149,大力齋廚 Mighty Vegetarian,19.0,屯門石排頭道5號偉昌工業中心A座地下,$51-100,粵菜 (廣東),素食,(29 食評),555,
150,鳳鳴居 FENG MING HOUSE,12.0,上水馬會道154號地下,$51-100,粵菜 (廣東),車仔麵,(24 食評),576,
151,咪走雞燒味至尊小廚,23.0,大埔安慈路4號昌運中心1-6號舖,$51-100,粵菜 (廣東),燒臘,(48 食評),312,
152,經典廚房 Classic Show Room,14.0,屯門屯門鄉事會路2A號 H.A.N.D.S N區2樓N-225號舖,$101-200,粵菜 (廣東),海鮮,(28 食評),411,
153,稻香超級漁港 Pier 88,75.0,屯門屯隆街2號屯門時代廣場南翼2樓9號舖,$101-200,粵菜 (廣東),火鍋,(133 食評),813,
154,彩雲軒 VCuisine,12.0,將軍澳唐德街3號香港九龍東智選假日酒店6樓全層,$50以下,粵菜 (廣東),點心,(29 食評),1089,
155,潮饗 Chao Siang,9.0,將軍澳常寧路10號安寧花園25號地舖,$101-200,中菜館,潮州菜,(17 食評),634,
156,稻香 Tao Heung,42.0,大埔翠樂街8號富萊花園地下及1樓A舖,$101-200,粵菜 (廣東),火鍋,(80 食評),450,
157,御苑 China Hall,11.0,葵芳興芳路223號新都會廣場6樓601-610號舖,$101-200,粵菜 (廣東),咪嘥嘢食店,(29 食評),847,
158,饑落亭,8.0,大埔大明里12號儲金閣地下12-14號舖,$51-100,粵菜 (廣東),大牌檔,(18 食評),918,
159,邦記海鮮酒家,24.0,流浮山正大街39號地下,$201-400,粵菜 (廣東),海鮮,(40 食評),608,
160,海皇漁港,37.0,馬鞍山鞍祿街18號新港城中心三期1樓,$101-200,粵菜 (廣東),海鮮,(62 食評),812,
161,嘉香汕頭魚旦粉麵家,29.0,沙田沙田瀝源村華豐樓2樓1號舖,$50以下,潮州菜,粉麵/米線,(42 食評),490,
162,富臨皇宮 Fulum Palace,21.0,屯門屯門鄉事會路126號1樓,$101-200,粵菜 (廣東),點心,(43 食評),151,
163,河畔強記雞粥海鮮酒家 Rivervine Keung Seafood Restaurant,68.0,沙田大涌橋路20-30號河畔花園地下,$101-200,粵菜 (廣東),海鮮,(124 食評),1342,
164,玉庭 Jade Pavilion,10.0,沙田白鶴汀街8號帝都酒店2樓,$201-400,潮州菜,粵菜 (廣東),(39 食評),441,
165,東江大飯店,24.0,荃灣沙咀道290號地下,$101-200,客家菜,中菜館,(70 食評),618,
166,海港酒家 Victoria Harbour Restaurant,10.0,粉嶺聯和墟和滿街8號帝庭軒購物商場1樓34號舖,$101-200,粵菜 (廣東),火鍋,(19 食評),355,
167,屏山傳統盆菜 Ping Shan Traditional Poon Choi,21.0,元朗屏山屏廈路塘坊村36號地下,$51-100,粵菜 (廣東),粵菜 (廣東),(32 食評),1635,
168,新順興潮汕滷味專門店,23.0,元朗又新街元新大廈9號地舖,$51-100,潮州菜,外賣店,(43 食評),561,
169,正宗火鍋點心專門店 Supreme Hot Pot & Dim Sum Specialtis,15.0,荃灣楊屋道69-71號地下,$51-100,粵菜 (廣東),火鍋,(18 食評),566,
170,陶源酒家 Sportful Garden Restaurant,8.0,荃灣沙咀道6號嘉達環球中心地舖,$201-400,粵菜 (廣東),中式包點,(14 食評),586,
171,皇朝漁苑 Royal China Aqua Garden,13.0,大埔三門仔路,$101-200,粵菜 (廣東),海鮮,(23 食評),1689,
172,太爺雞,16.0,大埔汀角路龍尾村19號地下A舖,$51-100,粵菜 (廣東),中菜館,(23 食評),313,
173,深井陳記燒鵝海鮮酒家,,深井青山公路深井村63號地下,$101-200,粵菜 (廣東),燒臘,(90 食評),702,
174,歡樂海鮮酒家,41.0,流浮山山東街12號,$401-800,粵菜 (廣東),海鮮,(94 食評),612,
175,翠園 Jade Garden,10.0,元朗元龍街9號形點一期2樓2039號舖,$101-200,粵菜 (廣東),點心,(32 食評),570,
176,富記瀨尿蝦專門店,16.0,屯門三聖街1號地下A號舖,$101-200,粵菜 (廣東),海鮮,(17 食評),309,
177,粥地來記海鮮粥底火鍋,11.0,大埔舊墟直街30號美利大廈地下9號舖,$101-200,粵菜 (廣東),火鍋,(16 食評),936,
178,大力素食 Mighty Vegetarian,7.0,元朗媽橫路35號福昌樓地下7號舖,$51-100,粵菜 (廣東),素食,(16 食評),595,
179,潮州仔食堂,12.0,荃灣沙咀道355號地下,$50以下,潮州菜,粉麵/米線,(29 食評),801,
