Name,Location,Price,Region,Style,Likes
白石燒烤 Whitehead Barbecue,馬鞍山馬鞍山白石第1950號,$101-200,英國菜,甜品/糖水,147
The Oyster House,灣仔謝斐道154號地下C號舖,$201-400,港式,燒烤,177
卡莎338 Casa 338,長沙灣東京街50號地舖,$51-100,意大利菜,海鮮,133
野玩田店 Something Wild - The Farm,尖沙咀河內道18號K11購物藝術館2樓201號舖,$101-200,西式,酒,86
Texas Burger,天后電氣道109號地舖,$51-100,西式,薄餅,212
Oldish,上環東街53號地舖,$101-200,西式,漢堡包,129
洛煮意 Kaylaism,旺角亞皆老街65號新之城地下G20號舖,$51-100,英國菜,All Day Breakfast,151
金蘭花泰國餐廳 Sawali Club,銅鑼灣怡和街22號3樓,$101-200,意大利菜,三文治,129
意粉狂熱 Pastaholic,旺角彌敦道639號雅蘭中心2樓208號舖,$101-200,西式,西餐廳,117
壹玖捌叁 Hong Kong Cuisine,跑馬地載德街2-4號1樓,$201-400,意大利菜,薄餅,146
圃公館 Dining House,灣仔皇后大道東387-397號帝盛酒店1樓,$201-400,粵菜 (廣東),山珍海味,170
To-Gather Cafe,旺角洗衣街39-55號金雞廣場19樓15-17室,$101-200,粵菜 (廣東),火鍋,122
喜來稀肉 Seorae,旺角廣華街3號百利達廣場地庫,$101-200,多國菜,藥膳,82
Oggi,天后水星街9號地下B舖,$101-200,韓國菜,烤肉,125
Uptop Bistro and Bar,尖沙咀漆咸道南117號珀薈酒店19樓,$201-400,意大利菜,西式,96
February,觀塘駿業街56號中海日升中心2樓A號舖,$101-200,西式,沙律,157
Little Break Coffee & Kitchen,荔枝角長義街9號D2 Place一期地下G03舖,$101-200,德國菜,西餐廳,106
泰廳 Thai Ten,元朗青山公路元朗段234-242號福德樓地下5號舖,$51-100,西式,All Day Breakfast,114
WIRED CAFE,尖沙咀彌敦道 118 -130號美麗華廣場二期低層地下B169 號舖,$101-200,泰國菜,泰國菜,137
水木日本料理 Mizuki Japanese Restaurant,灣仔譚臣道13-15號萬利中心2樓,$201-400,日本菜,甜品/糖水,129
泰邊爐 Thai Bin Lo,旺角彌敦道628號瓊華中心9樓,$101-200,日本菜,壽司/刺身,129
牛石料理 Gyuseki Japanese Restaurant,九龍城福佬村道51號地下,$201-400,泰國菜,火鍋,134
Anchor’s Seafood and Beer House,荃灣油柑頭青山公路汀九段123號汀蘭居地下,$201-400,港式,火鍋,94
FRITES Belgium on Tap,中環威靈頓街198號The Wellington 1樓,$201-400,西式,海鮮,101
為食仔海鮮火鍋專門店 Hungry Boy,旺角白布街4號地舖,$201-400,比利時菜,比利時菜,114
Scarlett Cafe & Wine Bar,尖沙咀柯士甸路2號地舖,$201-400,川菜 (四川),火鍋,92
Pizza Piazza,荔枝角長沙灣道883號億利工業中心地下1A舖,$101-200,法國菜,法國菜,135
德國餐廳 Das Bier,大埔翠怡街3號翠怡花園C座地下19號舖,$101-200,意大利菜,薄餅,114
Outdark,尖沙咀厚福街8號H8 17樓,$101-200,德國菜,德國菜,94
飲茶 Yum Cha,旺角亞皆老街8號朗豪坊4樓7號舖,$101-200,韓國菜,韓式炸雞,82
牛精皇 Niu Jing Wong,九龍城福佬村道60號地下,$201-400,粵菜 (廣東),點心,150
紅館 Rare Restaurant,中環擺花街9號地舖及地庫,$101-200,港式,火鍋,98
湘聚小廚 Jiang's Hunan chef,西環日富里13號富基大廈地舖,$51-100,意大利菜,法國菜,137
金寶泰國菜館 Cambo Thai Restaurant,九龍城衙前塱道25號,$101-200,湘菜 (湖南),中菜館,118
Odelice!,尖沙咀彌敦道100號The ONE4樓L407號舖,$101-200,泰國菜,海鮮,110
LA Creperie,灣仔皇后大道東100-102號鉅芝樓1樓,$101-200,法國菜,法國菜,159
616牛肉火鍋專門店,大埔翠怡街3號翠怡花園B座地下18號舖,$101-200,多國菜,甜品/糖水,95
Mr. Right,元朗西菁街23號富達廣場地下32-39號舖,$101-200,港式,火鍋,119
木槿花韓牛專門店 Mugung Hanwoo Beef Specialist,中環士丹頓街33號地舖,$201-400,意大利菜,海鮮,116
Jan Jan 串揚專門店 Jan Jan Kushikatsu,灣仔皇后大道東100號2樓,$201-400,韓國菜,韓燒,80
616麥子,尖沙咀赫德道4號The Hart 1樓,$201-400,日本菜,串燒,151
