name,location,price,country,style,likes,review,bookmark,discount_info
Three on Canton,尖沙咀廣東道13號海港城港威酒店3樓,$401-800,多國菜,自助餐,132,(231 食評),25391,加拿大風味之旅自助晚餐78折優惠
Goobne Chicken,中環威靈頓街2-8號威靈頓廣場M88 5樓,$101-200,韓國菜,韓式炸雞,151,(182 食評),8531,提供網上訂座
CIAK - All Day Italian,太古太古城道18號太古城中心2樓265號舖,$201-400,意大利菜,麵包店,143,(174 食評),4522,送 25里數 / 30積分
BriKetenia,觀塘成業街10號電訊一代廣場1樓B1號舖,$201-400,法國菜,法國菜,162,(208 食評),9228,送 25里數 / 30積分
El Cerdo,荃灣大壩街77號地舖,$201-400,西班牙菜,西班牙菜,155,(186 食評),5186,送 25里數 / 30積分
Pizza Maru,銅鑼灣軒尼詩道500號希慎廣場13樓1302舖,$101-200,韓國菜,薄餅,136,(181 食評),8090,送 25里數 / 30積分
Bella Shine,觀塘巧明街114號迅達工業大廈2樓B室,$101-200,日本菜,拉麵,193,(219 食評),3908,送 25里數 / 30積分
極品煮意 鷄煲.烤魚.火煱 Optimal Taste,葵芳盛芳街40號寬德大廈2樓,$101-200,粵菜 (廣東),火鍋,152,(172 食評),3025,送 25里數 / 30積分
千賀水產 Ten Million Japanese Restaurant,元朗西裕街達輝徑1號足彬大廈1號地舖,$101-200,日本菜,日式放題,189,(242 食評),10650,提供網上訂座
The Point,銅鑼灣登龍街52號地舖,$101-200,意大利菜,薄餅,170,(246 食評),10327,送 25里數 / 30積分
養心殿台式養生鍋,佐敦吳松街182號榮國中心2樓,$201-400,台灣菜,火鍋,168,(191 食評),4945,送 25里數 / 30積分
OM Tapas,尖沙咀棉登徑1號地舖,$201-400,西班牙菜,酒,130,(155 食評),7265,送 25里數 / 30積分
