,Rank,Song,Artist,Year
672,73,wild world,cat stevens,1971
673,74,when youre hot youre hot,jerry reed,1971
674,75,funky nassau,the beginning of the end,1971
675,76,if not for you,olivia newtonjohn,1971
676,77,groove me,king floyd,1971
677,78,watching scotty grow,bobby goldsboro,1971
678,79,woodstock,matthews southern comfort,1971
679,80,amazing grace,judy collins,1971
680,81,i hear you knocking,dave edmunds,1971
681,82,lonely days,bee gees,1971
682,83,here comes that rainy day feeling again,the fortunes,1971
683,84,wont get fooled again,the who,1971
684,85,trapped by a thing called love,denise lasalle,1971
685,86,mamas pearl,the jackson 5,1971
686,87,timothy,the buoys,1971
687,88,i woke up in love this morning,the partridge family,1971
688,89,theme from shaft,isaac hayes,1971
689,90,if i were your woman,gladys knight  the pips,1971
690,91,i ami said,neil diamond,1971
691,92,the wedding song there is love,paul stookey,1971
692,93,dont knock my love,wilson pickett,1971
693,94,love her madly,the doors,1971
694,95,here comes the sun,richie havens,1971
695,96,sweet mary,wadsworth mansion,1971
696,97,right on the tip of my tongue,brenda  the tabulations,1971
697,98,one less bell to answer,the 5th dimension,1971
698,99,riders on the storm,the doors,1971
699,100,somos novios its impossible,perry como,1971
700,1,the first time ever i saw your face,roberta flack,1972
701,2,alone again naturally,gilbert osullivan,1972
702,3,american pie,don mclean,1972
703,4,without you,harry nilsson,1972
704,5,the candy man,sammy davis jr,1972
705,6,i gotcha,joe tex,1972
706,7,lean on me,bill withers,1972
707,8,baby dont get hooked on me,mac davis,1972
708,9,brand new key,melanie,1972
709,10,daddy dont you walk so fast,wayne newton,1972
710,11,lets stay together,al green,1972
711,12,brandy youre a fine girl,looking glass,1972
712,13,oh girl,the chilites,1972
713,14,nice to be with you,gallery,1972
714,15,my dingaling,chuck berry,1972
715,16,if loving you is wrong i dont want to be right,luther ingram,1972
716,17,heart of gold,neil young,1972
717,18,betcha by golly wow,the stylistics,1972
718,19,ill take you there,the staple singers,1972
719,20,ben,michael jackson,1972
720,21,the lion sleeps tonight,robert john,1972
721,22,outaspace,billy preston,1972
722,23,slippin into darkness,war,1972
723,24,long cool woman in a black dress,the hollies,1972
724,25,how do you do,mouth  macneal,1972
725,26,song sung blue,neil diamond,1972
726,27,a horse with no name,america,1972
727,28,popcorn,hot butter,1972
728,29,everybody plays the fool,the main ingredient,1972
729,30,precious and few,climax,1972
730,31,last night i didnt get to sleep at all,the 5th dimension,1972
731,32,nights in white satin,the moody blues,1972
732,33,go all the way,raspberries,1972
733,34,too late to turn back now,cornelius brothers  sister rose,1972
734,35,back stabbers,the ojays,1972
735,36,down by the lazy river,the osmonds,1972
736,37,sunshine,jonathan edwards,1972
737,38,starting all over again,mel and tim,1972
738,39,day after day,badfinger,1972
739,40,rocket man,elton john,1972
740,41,rockin robin,michael jackson,1972
741,42,beautiful sunday,daniel boone,1972
742,43,scorpio,dennis coffey,1972
743,44,morning has broken,cat stevens,1972
744,45,city of new orleans,arlo guthrie,1972
745,46,garden party,ricky nelson,1972
746,47,i can see clearly now,johnny nash,1972
747,48,burning love,elvis presley,1972
748,49,clean up woman,betty wright,1972
749,50,hold your head up,argent,1972
750,51,jungle fever,the chakachas,1972
751,52,everything i own,bread,1972
752,53,in the rain,the dramatics,1972
753,54,look what you done for me,al green,1972
754,55,the happiest girl in the whole usa,donna fargo,1972
755,56,get it on,t rex,1972
756,57,mother and child reunion,paul simon,1972
757,58,where is the love,roberta flack  donny hathaway,1972
758,59,im still in love with you,al green,1972
759,60,layla,derek and the dominos,1972
760,61,day dreaming,aretha franklin,1972
761,62,the way of love,cher,1972
762,63,black and white,three dog night,1972
763,64,sylvias mother,dr hook  the medicine show,1972
764,65,hurting each other,the carpenters,1972
765,66,coconut,harry nilsson,1972
766,67,puppy love,donny osmond,1972
767,68,you dont mess around with jim,jim croce,1972
768,69,hot rod lincoln,commander cody and his lost planet airmen,1972
769,70,a cowboys work is never done,sonny  cher,1972
770,71,joy,apollo 100,1972
771,72,anticipation,carly simon,1972
772,73,never been to spain,three dog night,1972
773,74,kiss an angel good mornin,charley pride,1972
774,75,schools out,alice cooper,1972
775,76,saturday in the park,chicago,1972
776,77,drowning in the sea of love,joe simon,1972
777,78,use me,bill withers,1972
778,79,family affair,sly  the family stone,1972
779,80,troglodyte cave man,jimmy castor bunch,1972
780,81,the witch queen of new orleans,redbone,1972
781,82,freddies dead,curtis mayfield,1972
782,83,power of love,joe simon,1972
783,84,aint understanding mellow,jerry butler  brenda lee eager,1972
784,85,taxi,harry chapin,1972
785,86,dont say you dont remember,beverly bremers,1972
786,87,sealed with a kiss,bobby vinton,1972
787,88,i saw the light,todd rundgren,1972
788,89,motorcycle mama,sailcat,1972
789,90,day by day,original cast of godspell,1972
790,91,roundabout,yes,1972
791,92,doctor my eyes,jackson browne,1972
792,93,id like to teach the world to sing in perfect harmony,the new seekers,1972
793,94,vincent,don mclean,1972
794,95,baby let me take you in my arms,the detroit emeralds,1972
795,96,speak to the sky,rick springfield,1972
796,97,id like to teach the world to sing in perfect harmony,the hillside singers,1972
797,98,walkin in the rain with the one i love,love unlimited,1972
798,99,get on the good foot,james brown,1972
799,100,pop that thang,the isley brothers,1972
800,1,tie a yellow ribbon round the ole oak tree,tony orlando and dawn,1973
801,2,bad bad leroy brown,jim croce,1973
802,3,killing me softly with his song,roberta flack,1973
803,4,lets get it on,marvin gaye,1973
804,5,my love,paul mccartney  wings,1973
805,6,why me,kris kristofferson,1973
806,7,crocodile rock,elton john,1973
807,8,will it go round in circles,billy preston,1973
808,9,youre so vain,carly simon,1973
809,10,touch me in the morning,diana ross,1973
810,11,the night the lights went out in georgia,vicki lawrence,1973
811,12,playground in my mind,clint holmes,1973
812,13,brother louie,stories,1973
813,14,delta dawn,helen reddy,1973
814,15,me and mrs jones,billy paul,1973
815,16,frankenstein,edgar winter group,1973
816,17,drift away,dobie gray,1973
817,18,little willy,sweet,1973
818,19,you are the sunshine of my life,stevie wonder,1973
819,20,halfbreed,cher,1973
820,21,that lady,the isley brothers,1973
821,22,pillow talk,sylvia,1973
822,23,were an american band,grand funk railroad,1973
823,24,right place wrong time,dr john,1973
824,25,wildflower,skylark,1973
825,26,superstition,stevie wonder,1973
826,27,loves me like a rock,paul simon,1973
827,28,the morning after,maureen mcgovern,1973
828,29,rocky mountain high,john denver,1973
829,30,stuck in the middle with you,stealers wheel,1973
830,31,shambala,three dog night,1973
831,32,love train,the ojays,1973
832,33,im gonna love you just a little more baby,barry white,1973
833,34,say has anybody seen my sweet gypsy rose,tony orlando and dawn,1973
834,35,keep on truckin,eddie kendricks,1973
835,36,dancing in the moonlight,king harvest,1973
836,37,dannys song,anne murray,1973
837,38,monster mash,bobby boris pickett and the cryptkickers,1973
838,39,natural high,bloodstone,1973
839,40,diamond girl,seals and crofts,1973
840,41,long train runnin,the doobie brothers,1973
841,42,give me love give me peace on earth,george harrison,1973
842,43,if you want me to stay,sly  the family stone,1973
843,44,daddys home,jermaine jackson,1973
844,45,neither one of us wants to be the first to say goodbye,gladys knight  the pips,1973
845,46,im doin fine now,new york city,1973
846,47,could it be im falling in love,the spinners,1973
847,48,daniel,elton john,1973
848,49,midnight train to georgia,gladys knight  the pips,1973
849,50,smoke on the water,deep purple,1973
850,51,the cover of the rolling stone,dr hook  the medicine show,1973
851,52,behind closed doors,charlie rich,1973
852,53,your mama dont dance,loggins and messina,1973
853,54,feelin stronger every day,chicago,1973
854,55,the cisco kid,war,1973
855,56,live and let die,paul mccartney  wings,1973
856,57,oh babe what would you say,hurricane smith,1973
857,58,i believe in you you believe in me,johnnie taylor,1973
858,59,sing,the carpenters,1973
859,60,aint no woman like the one ive got,the four tops,1973
860,61,dueling banjos,eric weissberg  steve mandell,1973
861,62,higher ground,stevie wonder,1973
862,63,here i am come and take me,al green,1973
863,64,my maria,bw stevenson,1973
864,65,superfly,curtis mayfield,1973
865,66,get down,gilbert osullivan,1973
866,67,last song,edward bear,1973
867,68,reelin in the years,steely dan,1973
868,69,hocus pocus,focus,1973
869,70,yesterday once more,the carpenters,1973
870,71,boogie woogie bugle boy,bette midler,1973
871,72,clair,gilbert osullivan,1973
872,73,do it again,steely dan,1973
873,74,kodachrome,paul simon,1973
874,75,why cant we live together,timmy thomas,1973
875,76,so very hard to go,tower of power,1973
876,77,do you wanna dance,bette midler,1973
877,78,rockin pneumonia and the boogie woogie flu,johnny rivers,1973
878,79,ramblin man,the allman brothers band,1973
879,80,masterpiece,the temptations,1973
880,81,peaceful,helen reddy,1973
881,82,one of a kind love affair,the spinners,1973
882,83,funny face,donna fargo,1973
883,84,funky worm,ohio players,1973
884,85,angie,the rolling stones,1973
885,86,jambalaya on the bayou,blue ridge rangers,1973
886,87,dont expect me to be your friend,lobo,1973
887,88,break up to make up,the stylistics,1973
888,89,daisy a day,jud strunk,1973
889,90,also sprach zarathustra 2001,deodato,1973
890,91,stir it up,johnny nash,1973
891,92,money,pink floyd,1973
892,93,gypsy man,war,1973
893,94,the world is a ghetto,war,1973
894,95,yes we can can,the pointer sisters,1973
895,96,free ride,edgar winter group,1973
896,97,space oddity,david bowie,1973
897,98,it never rains in southern california,albert hammond,1973
898,99,the twelfth of never,donny osmond,1973
899,100,papa was a rollin stone,the temptations,1973
900,1,the way we were,barbra streisand,1974
901,2,seasons in the sun,terry jacks,1974
902,3,loves theme,love unlimited orchestra,1974
903,4,come and get your love,redbone,1974
904,5,dancing machine,the jackson 5,1974
905,6,the locomotion,grand funk railroad,1974
906,7,tsop the sound of philadelphia,mfsb,1974
907,8,the streak,ray stevens,1974
908,9,bennie and the jets,elton john,1974
909,10,one hell of a woman,mac davis,1974
910,11,until you come back to me thats what im gonna do,aretha franklin,1974
911,12,jungle boogie,kool  the gang,1974
912,13,midnight at the oasis,maria muldaur,1974
913,14,you make me feel brand new,the stylistics,1974
914,15,show and tell,al wilson,1974
915,16,spiders and snakes,jim stafford,1974
916,17,rock on,david essex,1974
917,18,sunshine on my shoulders,john denver,1974
918,19,sideshow,blue magic,1974
919,20,hooked on a feeling,blue swede,1974
920,21,billy dont be a hero,bo donaldson and the heywoods,1974
921,22,band on the run,paul mccartney and wings,1974
922,23,the most beautiful girl,charlie rich,1974
923,24,time in a bottle,jim croce,1974
924,25,annies song,john denver,1974
925,26,let me be there,olivia newtonjohn,1974
926,27,sundown,gordon lightfoot,1974
927,28,youre having my baby,paul anka,1974
928,29,rock me gently,andy kim,1974
929,30,boogie down,eddie kendricks,1974
930,31,youre sixteen,ringo starr,1974
931,32,if you love me let me know,olivia newtonjohn,1974
932,33,dark lady,cher,1974
933,34,best thing that ever happened to me,gladys knight  the pips,1974
934,35,feel like makin love,roberta flack,1974
935,36,just dont want to be lonely,the main ingredient,1974
936,37,nothing from nothing,billy preston,1974
937,38,rock your baby,george mccrae,1974
938,39,top of the world,the carpenters,1974
939,40,the joker,steve miller band,1974
940,41,ive got to use my imagination,gladys knight  the pips,1974
941,42,the show must go on,three dog night,1974
942,43,rock the boat,the hues corporation,1974
943,44,smokin in the boys room,brownsville station,1974
944,45,living for the city,stevie wonder,1974
945,46,the night chicago died,paper lace,1974
946,47,then came you,dionne warwick  the spinners,1974
947,48,the entertainer,marvin hamlisch,1974
948,49,waterloo,abba,1974
949,50,the air that i breathe,the hollies,1974
950,51,rikki dont lose that number,steely dan,1974
951,52,mockingbird,carly simon  james taylor,1974
952,53,help me,joni mitchell,1974
953,54,you wont see me,anne murray,1974
954,55,never never gonna give you up,barry white,1974
955,56,tell me something good,rufus  chaka khan,1974
956,57,you and me against the world,helen reddy,1974
957,58,rock and roll heaven,the righteous brothers,1974
958,59,hollywood swinging,kool  the gang,1974
959,60,be thankful for what you got,william devaughn,1974
960,61,hang on in there baby,johnny bristol,1974
961,62,eres tu,mocedades,1974
962,63,takin care of business,bachmanturner overdrive,1974
963,64,radar love,golden earring,1974
964,65,please come to boston,dave loggins,1974
965,66,keep on smilin,wet willie,1974
966,67,lookin for a love,bobby womack,1974
967,68,put your hands together,the ojays,1974
968,69,on and on,gladys knight  the pips,1974
969,70,oh very young,cat stevens,1974
970,71,leave me alone ruby red dress,helen reddy,1974
971,72,goodbye yellow brick road,elton john,1974
972,73,ive been searchin so long,chicago,1974
973,74,oh my my,ringo starr,1974
974,75,for the love of money,the ojays,1974
975,76,i shot the sheriff,eric clapton,1974
976,77,jet,paul mccartney and wings,1974
977,78,dont let the sun go down on me,elton john,1974
978,79,tubular bells,mike oldfield,1974
979,80,a love song,anne murray,1974
980,81,im leaving it up to you,donny and marie osmond,1974
