,Rank,Song,Artist,Year
520,21,ooh child,five stairsteps,1970
521,22,spirit in the sky,norman greenbaum,1970
522,23,lay down candles in the rain,melanie,1970
523,24,ball of confusion thats what the world is today,the temptations,1970
524,25,love on a twoway street,the moments,1970
525,26,which way you goin billy,the poppy family,1970
526,27,all right now,free,1970
527,28,i want you back,the jackson 5,1970
528,29,julie do ya love me,bobby sherman,1970
529,30,greeneyed lady,sugarloaf,1970
530,31,signed sealed delivered im yours,stevie wonder,1970
531,32,ride captain ride,blues image,1970
532,33,venus,shocking blue,1970
533,34,instant karma,john lennon,1970
534,35,patches,clarence carter,1970
535,36,lookin out my back door,creedence clearwater revival,1970
536,37,rainy night in georgia,brook benton,1970
537,38,somethings burning,kenny rogers  the first edition,1970
538,39,give me just a little more time,chairmen of the board,1970
539,40,love grows where my rosemary goes,edison lighthouse,1970
540,41,the long and winding road,the beatles,1970
541,42,snowbird,anne murray,1970
542,43,reflections of my life,marmalade,1970
543,44,hey there lonely girl,eddie holman,1970
544,45,the rapper,the jaggerz,1970
545,46,he aint heavy hes my brother,the hollies,1970
546,47,tighter tighter,alive n kickin,1970
547,48,come and get it,badfinger,1970
548,49,cecilia,simon  garfunkel,1970
549,50,love land,charles wright  the watts 103rd street rhythm band,1970
550,51,turn back the hands of time,tyrone davis,1970
551,52,lola,the kinks,1970
552,53,in the summertime,mungo jerry,1970
553,54,indiana wants me,r dean taylor,1970
554,55,i know im losing you,rare earth,1970
555,56,easy come easy go,bobby sherman,1970
556,57,express yourself,charles wright  the watts 103rd street rhythm band,1970
557,58,still water love,the four tops,1970
558,59,make me smile,chicago,1970
559,60,the house of the rising sun,frijid pink,1970
560,61,25 or 6 to 4,chicago,1970
561,62,my baby loves lovin,white plains,1970
562,63,love or let me be lonely,the friends of distinction,1970
563,64,united we stand,the brotherhood of man,1970
564,65,weve only just begun,the carpenters,1970
565,66,arizona,mark lindsay,1970
566,67,fire and rain,james taylor,1970
567,68,groovy situation,gene chandler,1970
568,69,evil ways,santana,1970
569,70,no time,the guess who,1970
570,71,didnt i blow your mind this time,the delfonics,1970
571,72,the wonder of you,elvis presley,1970
572,73,up around the bend,creedence clearwater revival,1970
573,74,if you let me make love to you then why cant i touch you,ronnie dyson,1970
574,75,i just cant help believing,bj thomas,1970
575,76,its a shame,the spinners,1970
576,77,for the love of him,bobbi martin,1970
577,78,mississippi queen,mountain,1970
578,79,i want to take you higher,ike  tina turner,1970
579,80,the letter,joe cocker,1970
580,81,ma belle amie,tee set,1970
581,82,the bells,the originals,1970
582,83,yellow river,christie,1970
583,84,somebodys been sleeping,100 proof aged in soul,1970
584,85,vehicle,the ides of march,1970
585,86,gimme dat ding,the pipkins,1970
586,87,lay a little lovin on me,robin mcnamara,1970
587,88,up the ladder to the roof,the supremes,1970
588,89,travelin band,creedence clearwater revival,1970
589,90,come saturday morning,the sandpipers,1970
590,91,psychedelic shack,the temptations,1970
591,92,without love there is nothing,tom jones,1970
592,93,are you ready,pacific gas  electric,1970
593,94,woodstock,crosby stills nash  young,1970
594,95,ill never fall in love again,dionne warwick,1970
595,96,look what theyve done to my song ma,the new seekers,1970
596,97,walk a mile in my shoes,joe south,1970
597,98,the thrill is gone,bb king,1970
598,99,its only make believe,glen campbell,1970
599,100,call me,aretha franklin,1970
600,1,joy to the world,three dog night,1971
601,2,maggie mayreason to believe,rod stewart,1971
602,3,its too latei feel the earth move,carole king,1971
603,4,one bad apple,the osmonds,1971
604,5,how can you mend a broken heart,bee gees,1971
605,6,indian reservation the lament of the cherokee reservation indian,paul revere  the raiders,1971
606,7,go away little girl,donny osmond,1971
607,8,take me home country roads,john denver,1971
608,9,just my imagination running away with me,the temptations,1971
609,10,knock three times,tony orlando and dawn,1971
610,11,me and bobby mcgee,janis joplin,1971
611,12,tired of being alone,al green,1971
612,13,want ads,honey cone,1971
613,14,smiling faces sometimes,the undisputed truth,1971
614,15,treat her like a lady,cornelius brothers  sister rose,1971
615,16,youve got a friend,james taylor,1971
616,17,mr big stuff,jean knight,1971
617,18,brown sugar,the rolling stones,1971
618,19,do you know what i mean,lee michaels,1971
619,20,the night they drove old dixie down,joan baez,1971
620,21,whats going on,marvin gaye,1971
621,22,uncle albertadmiral halsey,paul  linda mccartney,1971
622,23,aint no sunshine,bill withers,1971
623,24,signs,five man electrical band,1971
624,25,shes a lady,tom jones,1971
625,26,superstar,murray head  the trindad singers,1971
626,27,ive found someone of my own,the free movement,1971
627,28,amos moses,jerry reed,1971
628,29,temptation eyes,the grass roots,1971
629,30,superstar,the carpenters,1971
630,31,my sweet lord,george harrison,1971
631,32,sweet and innocent,donny osmond,1971
632,33,put your hand in the hand,ocean,1971
633,34,chickaboom dont ya jes love it,daddy dewdrop,1971
634,35,for all we know,the carpenters,1971
635,36,help me make it through the night,sammi smith,1971
636,37,rainy days and mondays,the carpenters,1971
637,38,if you could read my mind,gordon lightfoot,1971
638,39,gypsys tramps  thieves,cher,1971
639,40,never can say goodbye,the jackson 5,1971
640,41,rose garden,lynn anderson,1971
641,42,dont pull your love,hamilton joe frank  reynolds,1971
642,43,it dont come easy,ringo starr,1971
643,44,mr bojangles,nitty gritty dirt band,1971
644,45,i love you for all seasons,the fuzz,1971
645,46,whatcha see is whatcha get,the dramatics,1971
646,47,thats the way ive always heard it should be,carly simon,1971
647,48,if you really love me,stevie wonder,1971
648,49,spanish harlem,aretha franklin,1971
649,50,i dont know how to love him,helen reddy,1971
650,51,yoyo,the osmonds,1971
651,52,bridge over troubled water,aretha franklin,1971
652,53,doesnt somebody want to be wanted,the partridge family,1971
653,54,draggin the line,tommy james,1971
654,55,proud mary,ike  tina turner,1971
655,56,beginningscolour my world,chicago,1971
656,57,stay awhile,the bells,1971
657,58,sweet city woman,the stampeders,1971
658,59,me and you and a dog named boo,lobo,1971
659,60,another dayoh woman oh why,paul mccartney,1971
660,61,if,bread,1971
661,62,mercy mercy me the ecology,marvin gaye,1971
662,63,one toke over the line,brewer  shipley,1971
663,64,shes not just another woman,8th day,1971
664,65,bring the boys home,freda payne,1971
665,66,i just want to celebrate,rare earth,1971
666,67,never ending song of love,delaney  bonnie  friends,1971
667,68,easy loving,freddie hart,1971
668,69,liar,three dog night,1971
669,70,stickup,the honey cone,1971
670,71,chirpy chirpy cheep cheep,mac and katie kissoon,1971
671,72,where do i begin love story,andy williams,1971
